ID,Community
114,377
57,454
128,454
129,454
24,476
51,497
63,497
92,497
125,497
3,499
13,499
14,499
25,499
26,499
29,499
39,499
43,499
64,499
67,499
78,499
85,499
88,499
100,499
104,499
117,499
122,499
127,499
131,499
139,499
143,499
145,499
148,499
151,499
156,499
168,499
187,499
194,499
200,499
218,499
227,499
228,499
236,499
245,499
246,499
251,499
253,499
262,499
267,499
273,499
282,499
285,499
295,499
301,499
326,499
334,499
340,499
394,499
413,499
451,499
462,499
499,499
172,564
231,572
0,592
1,592
4,592
5,592
6,592
7,592
9,592
10,592
19,592
22,592
27,592
28,592
30,592
31,592
32,592
33,592
34,592
35,592
36,592
40,592
42,592
44,592
45,592
47,592
49,592
56,592
62,592
69,592
71,592
72,592
74,592
79,592
82,592
83,592
84,592
86,592
89,592
90,592
95,592
96,592
99,592
102,592
106,592
108,592
113,592
120,592
121,592
130,592
132,592
134,592
135,592
137,592
140,592
141,592
155,592
161,592
165,592
169,592
170,592
182,592
183,592
185,592
186,592
189,592
193,592
196,592
202,592
203,592
206,592
207,592
208,592
211,592
214,592
216,592
217,592
220,592
224,592
232,592
239,592
241,592
242,592
243,592
247,592
249,592
250,592
252,592
255,592
259,592
265,592
269,592
270,592
274,592
277,592
284,592
287,592
290,592
293,592
294,592
299,592
304,592
309,592
320,592
329,592
333,592
336,592
337,592
339,592
350,592
384,592
388,592
400,592
408,592
410,592
412,592
415,592
433,592
455,592
481,592
493,592
496,592
498,592
509,592
528,592
592,592
2,601
8,601
11,601
12,601
15,601
16,601
21,601
23,601
37,601
38,601
41,601
48,601
50,601
52,601
53,601
58,601
65,601
68,601
73,601
76,601
80,601
81,601
87,601
91,601
94,601
98,601
101,601
105,601
107,601
109,601
112,601
115,601
116,601
119,601
124,601
133,601
136,601
142,601
149,601
150,601
152,601
153,601
154,601
157,601
158,601
164,601
171,601
174,601
177,601
179,601
180,601
181,601
184,601
190,601
192,601
198,601
199,601
201,601
210,601
213,601
222,601
225,601
226,601
229,601
230,601
233,601
235,601
237,601
244,601
257,601
261,601
271,601
279,601
281,601
291,601
292,601
297,601
298,601
300,601
307,601
311,601
321,601
322,601
323,601
327,601
331,601
345,601
359,601
364,601
367,601
369,601
373,601
390,601
393,601
396,601
426,601
435,601
452,601
456,601
463,601
468,601
469,601
506,601
535,601
549,601
582,601
601,601
70,616
77,616
144,616
166,616
260,616
275,616
315,616
330,616
338,616
349,616
354,616
360,616
406,616
420,616
423,616
430,616
432,616
434,616
443,616
450,616
516,616
566,616
593,616
616,616
256,622
317,622
328,622
382,622
622,622
289,626
319,626
335,626
548,626
590,626
626,626
353,632
381,632
395,632
403,632
424,632
483,632
489,632
550,632
632,632
324,635
635,635
197,660
215,660
325,660
342,660
356,660
371,660
457,660
475,660
501,660
660,660
303,674
674,674
308,680
343,680
352,680
561,680
680,680
17,682
18,682
54,682
60,682
111,682
146,682
175,682
209,682
219,682
221,682
263,682
264,682
276,682
306,682
314,682
363,682
375,682
386,682
401,682
402,682
409,682
417,682
418,682
444,682
487,682
488,682
517,682
569,682
628,682
650,682
664,682
682,682
258,693
313,693
693,693
176,694
355,694
399,694
438,694
520,694
562,694
688,694
694,694
366,696
696,696
46,697
61,697
118,697
126,697
147,697
163,697
178,697
195,697
234,697
268,697
341,697
344,697
347,697
348,697
370,697
377,697
383,697
391,697
392,697
397,697
425,697
427,697
431,697
467,697
551,697
567,697
584,697
605,697
607,697
620,697
697,697
502,704
542,704
704,704
212,708
544,708
656,708
708,708
